Name,Party,Parliament,Politician ID,RidingID,Province,Gender,ranfor43,reelected43,QuestionPeriod,PvtMemBills,Statements,Backbencher ,DOB1,AgeOnElectionDay,YearsServedAtTimeOfElection
Earl Dreeshen,Conservative Party of Canada,42,610,48029,AB,M,Yes,Yes,11,0,17,1,1953-07-09,66,11.02465753
Blake Richards,Conservative Party of Canada,42,611,48001,AB,M,Yes,Yes,128,0,19,0,1974-11-08,44,11.02465753
Cathy McLeod,Conservative Party of Canada,42,612,59013,BC,F,Yes,Yes,156,2,29,0,1957-06-12,62,11.02465753
Alice Wong,Conservative Party of Canada,42,614,59025,BC,F,Yes,Yes,34,0,16,0,27-Mar-74,45,11.02465753
Don Davies,New Democratic Party,42,616,59038,BC,M,Yes,Yes,80,22,22,1,1963-01-16,56,11.02465753
Brigitte Sansoucy,New Democratic Party,42,799,24066,QC,F,Yes,No,191,1,20,1,01-Jan-63,56,4.008219178
Bob Saroya,Conservative Party of Canada,42,869,35056,ON,M,Yes,Yes,35,2,37,0,03-Feb-52,67,4.008219178
Eva Nassif,Liberal Party of Canada,42,903,24078,QC,F,No,.,21,0,34,0,,,4.008219178
Alexandre Boulerice,New Democratic Party,42,939,24064,QC,M,Yes,Yes,209,2,15,1,18-Jun-73,46,8.476712329
Guy Caron,New Democratic Party,42,1082,24018,QC,M,Yes,No,343,2,13,0,1968-05-13,51,8.476712329
Christine Moore,New Democratic Party,42,1371,24002,QC,F,No,.,30,5,18,1,1983-10-21,36,8.476712329
Ron McKinnon,Liberal Party of Canada,42,1515,59008,BC,M,Yes,Yes,11,1,15,1,1951-08-08,68,4.008219178
Denis Paradis,Liberal Party of Canada,42,1757,24016,QC,M,No,.,9,1,33,0,1949-04-01,70,14.95616438
Randall Garrison,New Democratic Party,42,2038,59026,BC,M,Yes,Yes,60,6,18,1,1950-08-27,69,8.476712329
Terry Duguid,Liberal Party of Canada,42,2161,46013,MB,M,Yes,Yes,30,0,27,1,01-Jan-54,65,4.008219178
Joe Peschisolido,Liberal Party of Canada,42,4136,59031,BC,M,Yes,No,7,0,25,0,1963-04-27,56,7.591780822
Kevin Lamoureux,Liberal Party of Canada,42,4264,46012,MB,M,Yes,Yes,120,0,24,1,1962-01-22,57,8.898630137
Bob Nault,Liberal Party of Canada,42,4566,35042,ON,M,Yes,No,2,0,1,1,09-Nov-55,63,19.61643836
Mario Beaulieu,Bloc Québécois,42,6424,24033,QC,M,Yes,Yes,82,1,35,1,02-Jan-59,60,4.008219178
Fin Donnelly,New Democratic Party,42,8333,59023,BC,M,No,.,40,3,19,1,1966-05-27,53,9.953424658
Bernard Généreux,Conservative Party of Canada,42,8347,24051,QC,M,Yes,Yes,46,0,22,0,1962-04-23,57,5.482191781
Robert Sopuck,Conservative Party of Canada,42,8353,46004,MB,M,No,.,8,0,14,0,1951-07-11,68,8.898630137
Sean Casey,Liberal Party of Canada,42,8392,11002,PE,M,Yes,Yes,102,0,27,1,1963-05-16,56,8.476712329
Anne Minh-Thu Quach,New Democratic Party,42,8474,24071,QC,F,No,.,114,3,21,0,14-Aug-82,37,8.476712329
Ruth Ellen Brosseau,New Democratic Party,42,8479,24012,QC,F,Yes,No,182,3,15,0,26-Apr-84,35,8.476712329
Matthew Dubé,New Democratic Party,42,8491,24011,QC,M,Yes,No,129,1,15,0,1988-05-03,31,8.476712329
Marjolaine Boutin-Sweet,New Democratic Party,42,8517,24028,QC,F,No,.,106,2,17,0,1955-10-03,64,8.476712329
Gérard Deltell,Conservative Party of Canada,42,8551,24045,QC,F,Yes,Yes,0,0,0,0,1964-08-08,55,4.008219178
Hélène Laverdière,New Democratic Party,42,8558,24039,QC,F,No,.,180,1,19,0,1955-04-13,64,8.476712329
Pierre Nantel,New Democratic Party,42,8571,24043,QC,M,Yes,No,108,0,15,0,1963-06-10,56,8.476712329
